State,PopEst2016,Pop2010
California,39250017,37254503
Texas,27862596,25146105
Florida,20612439,18804623
New York,19745289,19378087
Illinois,12801539,12831549
Pennsylvania,12784227,12702887
Ohio,11614373,11536725
Georgia,10310371,9688681
North Carolina,10146788,9535692
Michigan,9928300,9884129
New Jersey,8944469,8791936
Virginia,8411808,8001045
Washington,7288000,6724543
Arizona,6931071,6392307
Massachusetts,6811779,6547817
Tennessee,6651194,6346275
Indiana,6633053,6484229
Missouri,6093000,5988927
Maryland,6016447,5773785
Wisconsin,5778708,5687289
Colorado,5540545,5029324
Minnesota,5519952,5303925
South Carolina,4961119,4625401
Alabama,4863300,4780127
Louisiana,4681666,4533479
Kentucky,4436974,4339349
Oregon,4093465,3831073
Oklahoma,3923561,3751616
Connecticut,3576452,3574118
Iowa,3134693,3046869
Utah,3051217,2763888
Mississippi,2988726,2968103
Arkansas,2988248,2915958
Nevada,2940058,2700691
Kansas,2907289,2853132
New Mexico,2081015,2059192
Nebraska,1907116,1826341
West Virginia,1831102,1853011
Idaho,1683140,1567652
Hawaii,1428557,1360301
New Hampshire,1334795,1316466
Maine,1331479,1328361
Rhode Island,1056426,1052931
Montana,1042520,989417
Delaware,952065,897936
South Dakota,865454,814191
North Dakota,757952,672591
Alaska,741894,710249
Vermont,624594,625745
Wyoming,585501,563767
